SalesOrderID,Status,ShipDate,SalesMonthYear,OnlineOrderFlag,SalesPersonID,TerritoryID,Group,TotalDue,SubTotal,COGS,Margin,SalesYear,SalesMonth
43952,5,2011-07-14,2011-07,True,,9,Pacific,3953.9884,3578.27,2171.2942,1406.9758,2011,7
44202,5,2011-08-23,2011-08,True,,4,North America,3953.9884,3578.27,2171.2942,1406.9758,2011,8
44079,5,2011-08-08,2011-08,False,277.0,3,North America,28945.1938,25706.4831,25566.3993,140.0838,2011,8
44288,5,2011-09-07,2011-09,False,282.0,6,North America,49346.3436,43803.1432,43597.1731,205.9701,2011,9
45079,5,2011-12-08,2011-12,True,,4,North America,3953.9884,3578.27,2171.2942,1406.9758,2011,12
44034,5,2011-07-31,2011-07,True,,9,Pacific,3953.9884,3578.27,2171.2942,1406.9758,2011,7
44911,5,2011-11-21,2011-11,True,,4,North America,3729.364,3374.99,1898.0944,1476.8956,2011,11
44091,5,2011-08-08,2011-08,False,281.0,4,North America,5055.9137,4492.7043,4438.8666,53.8377,2011,8
44120,5,2011-08-08,2011-08,False,277.0,4,North America,30375.6923,26967.1293,24966.489,2000.6403,2011,8
44087,5,2011-08-08,2011-08,False,276.0,4,North America,5641.191,5007.72,5046.8672,-39.1472,2011,8
45157,5,2011-12-21,2011-12,True,,9,Pacific,3756.989,3399.99,1912.1544,1487.8356,2011,12
44812,5,2011-11-08,2011-11,True,,4,North America,3953.9884,3578.27,2171.2942,1406.9758,2011,11
44239,5,2011-08-30,2011-08,True,,7,Europe,3953.9884,3578.27,2171.2942,1406.9758,2011,8
44997,5,2011-12-02,2011-12,True,,1,North America,3953.9884,3578.27,2171.2942,1406.9758,2011,12
45186,5,2011-12-26,2011-12,True,,10,Europe,3953.9884,3578.27,2171.2942,1406.9758,2011,12
44198,5,2011-08-22,2011-08,True,,4,North America,3953.9884,3578.27,2171.2942,1406.9758,2011,8
44510,5,2011-10-08,2011-10,False,281.0,1,North America,1970.036,1749.588,1769.4166,-19.8286,2011,10
44280,5,2011-09-07,2011-09,False,275.0,2,North America,64.242,57.6808,63.4488,-5.768,2011,9
43785,5,2011-06-28,2011-06,True,,7,Europe,3953.9884,3578.27,2171.2942,1406.9758,2011,6
44044,5,2011-08-02,2011-08,True,,10,Europe,3953.9884,3578.27,2171.2942,1406.9758,2011,8
44960,5,2011-11-27,2011-11,True,,6,North America,3953.9884,3578.27,2171.2942,1406.9758,2011,11
44919,5,2011-11-22,2011-11,True,,1,North America,3953.9884,3578.27,2171.2942,1406.9758,2011,11
43820,5,2011-07-04,2011-07,True,,4,North America,3953.9884,3578.27,2171.2942,1406.9758,2011,7
45071,5,2011-12-08,2011-12,False,275.0,3,North America,6733.5399,5980.0532,5959.2953,20.7579,2011,12
44693,5,2011-10-28,2011-10,True,,4,North America,3953.9884,3578.27,2171.2942,1406.9758,2011,10
44350,5,2011-09-14,2011-09,True,,4,North America,3953.9884,3578.27,2171.2942,1406.9758,2011,9
44128,5,2011-08-08,2011-08,False,279.0,5,North America,20874.6359,18542.1726,17368.7122,1173.4604,2011,8
44931,5,2011-11-24,2011-11,True,,1,North America,3953.9884,3578.27,2171.2942,1406.9758,2011,11
44857,5,2011-11-14,2011-11,True,,9,Pacific,3953.9884,3578.27,2171.2942,1406.9758,2011,11
44071,5,2011-08-07,2011-08,True,,9,Pacific,3953.9884,3578.27,2171.2942,1406.9758,2011,8
44738,5,2011-11-06,2011-11,True,,9,Pacific,3953.9884,3578.27,2171.2942,1406.9758,2011,11
43968,5,2011-07-18,2011-07,True,,4,North America,3953.9884,3578.27,2171.2942,1406.9758,2011,7
43974,5,2011-07-19,2011-07,True,,10,Europe,3953.9884,3578.27,2171.2942,1406.9758,2011,7
44182,5,2011-08-16,2011-08,True,,9,Pacific,3953.9884,3578.27,2171.2942,1406.9758,2011,8
44371,5,2011-09-16,2011-09,True,,9,Pacific,3953.9884,3578.27,2171.2942,1406.9758,2011,9
45024,5,2011-12-06,2011-12,True,,8,Europe,3756.989,3399.99,1912.1544,1487.8356,2011,12
44099,5,2011-08-08,2011-08,False,281.0,4,North America,14074.0241,12499.4471,12610.465,-111.0179,2011,8
45222,5,2011-12-31,2011-12,True,,1,North America,772.5036,699.0982,413.1463,285.9519,2011,12
44687,5,2011-10-27,2011-10,True,,10,Europe,772.5036,699.0982,413.1463,285.9519,2011,10
44453,5,2011-10-03,2011-10,True,,9,Pacific,3953.9884,3578.27,2171.2942,1406.9758,2011,10
44412,5,2011-09-23,2011-09,True,,9,Pacific,3729.364,3374.99,1898.0944,1476.8956,2011,9
43890,5,2011-07-08,2011-07,False,278.0,6,North America,84686.9878,75191.9599,70025.6025,5166.3574,2011,7
44177,5,2011-08-16,2011-08,True,,10,Europe,3729.364,3374.99,1898.0944,1476.8956,2011,8
43814,5,2011-07-03,2011-07,True,,1,North America,3729.364,3374.99,1898.0944,1476.8956,2011,7
44457,5,2011-10-04,2011-10,True,,1,North America,3953.9884,3578.27,2171.2942,1406.9758,2011,10
43828,5,2011-07-05,2011-07,True,,1,North America,3953.9884,3578.27,2171.2942,1406.9758,2011,7
43902,5,2011-07-08,2011-07,False,279.0,5,North America,59486.4175,52803.4477,48774.4094,4029.0383,2011,7
44820,5,2011-11-09,2011-11,True,,1,North America,3729.364,3374.99,1898.0944,1476.8956,2011,11
44771,5,2011-11-07,2011-11,False,280.0,1,North America,78461.0295,69681.6887,70019.0268,-337.3381,2011,11
43988,5,2011-07-22,2011-07,True,,10,Europe,3756.989,3399.99,1912.1544,1487.8356,2011,7
44697,5,2011-10-29,2011-10,True,,9,Pacific,3953.9884,3578.27,2171.2942,1406.9758,2011,10
44032,5,2011-07-31,2011-07,True,,10,Europe,3756.989,3399.99,1912.1544,1487.8356,2011,7
44463,5,2011-10-05,2011-10,True,,8,Europe,772.5036,699.0982,413.1463,285.9519,2011,10
44541,5,2011-10-08,2011-10,False,280.0,1,North America,57231.0827,50827.1365,47636.9741,3190.1624,2011,10
44506,5,2011-10-08,2011-10,False,279.0,5,North America,40145.6114,35651.0339,35503.302,147.7319,2011,10
44646,5,2011-10-20,2011-10,True,,8,Europe,3756.989,3399.99,1912.1544,1487.8356,2011,10
44675,5,2011-10-24,2011-10,True,,9,Pacific,772.5036,699.0982,413.1463,285.9519,2011,10
44835,5,2011-11-11,2011-11,True,,9,Pacific,3953.9884,3578.27,2171.2942,1406.9758,2011,11
44192,5,2011-08-21,2011-08,True,,8,Europe,3953.9884,3578.27,2171.2942,1406.9758,2011,8
45011,5,2011-12-04,2011-12,True,,6,North America,3953.9884,3578.27,2171.2942,1406.9758,2011,12
45178,5,2011-12-24,2011-12,True,,9,Pacific,3756.989,3399.99,1912.1544,1487.8356,2011,12
43896,5,2011-07-08,2011-07,False,277.0,4,North America,4891.9878,4345.8268,4316.7763,29.0505,2011,7
44264,5,2011-09-03,2011-09,True,,9,Pacific,3953.9884,3578.27,2171.2942,1406.9758,2011,9
43705,5,2011-06-08,2011-06,True,,9,Pacific,3756.989,3399.99,1912.1544,1487.8356,2011,6
44890,5,2011-11-19,2011-11,True,,10,Europe,3756.989,3399.99,1912.1544,1487.8356,2011,11
44392,5,2011-09-18,2011-09,True,,9,Pacific,3953.9884,3578.27,2171.2942,1406.9758,2011,9
44619,5,2011-10-16,2011-10,True,,8,Europe,3953.9884,3578.27,2171.2942,1406.9758,2011,10
44212,5,2011-08-25,2011-08,True,,4,North America,3953.9884,3578.27,2171.2942,1406.9758,2011,8
43664,5,2011-06-07,2011-06,False,280.0,1,North America,27510.4109,24432.6088,22910.8816,1521.7272,2011,6
43684,5,2011-06-07,2011-06,False,279.0,5,North America,6301.6258,5596.4705,5604.5647,-8.0942,2011,6
44680,5,2011-10-26,2011-10,True,,7,Europe,3953.9884,3578.27,2171.2942,1406.9758,2011,10
44777,5,2011-11-07,2011-11,False,276.0,4,North America,112067.3649,99502.0328,92489.2433,7012.7895,2011,11
44561,5,2011-10-08,2011-10,False,283.0,1,North America,47348.815,42033.8061,38993.0044,3040.8017,2011,10
43680,5,2011-06-07,2011-06,False,281.0,4,North America,12832.9009,11397.4992,11363.4992,34.0,2011,6
44405,5,2011-09-22,2011-09,True,,4,North America,3953.9884,3578.27,2171.2942,1406.9758,2011,9
44450,5,2011-10-03,2011-10,True,,4,North America,3953.9884,3578.27,2171.2942,1406.9758,2011,10
43722,5,2011-06-13,2011-06,True,,10,Europe,3953.9884,3578.27,2171.2942,1406.9758,2011,6
44237,5,2011-08-29,2011-08,True,,9,Pacific,3953.9884,3578.27,2171.2942,1406.9758,2011,8
44026,5,2011-07-29,2011-07,True,,9,Pacific,3953.9884,3578.27,2171.2942,1406.9758,2011,7
44716,5,2011-11-02,2011-11,True,,6,North America,3953.9884,3578.27,2171.2942,1406.9758,2011,11
44101,5,2011-08-08,2011-08,False,279.0,5,North America,11030.0547,9794.6422,9874.4408,-79.7986,2011,8
44884,5,2011-11-17,2011-11,True,,9,Pacific,3953.9884,3578.27,2171.2942,1406.9758,2011,11
44617,5,2011-10-15,2011-10,True,,1,North America,3953.9884,3578.27,2171.2942,1406.9758,2011,10
44637,5,2011-10-19,2011-10,True,,1,North America,3953.9884,3578.27,2171.2942,1406.9758,2011,10
44249,5,2011-09-01,2011-09,True,,10,Europe,3953.9884,3578.27,2171.2942,1406.9758,2011,9
44968,5,2011-11-28,2011-11,True,,8,Europe,772.5036,699.0982,413.1463,285.9519,2011,11
43808,5,2011-07-02,2011-07,True,,8,Europe,3953.9884,3578.27,2171.2942,1406.9758,2011,7
44003,5,2011-07-26,2011-07,True,,8,Europe,772.5036,699.0982,413.1463,285.9519,2011,7
44135,5,2011-08-08,2011-08,True,,4,North America,3953.9884,3578.27,2171.2942,1406.9758,2011,8
43873,5,2011-07-08,2011-07,False,276.0,4,North America,46465.9531,41250.4391,41135.9632,114.4759,2011,7
44290,5,2011-09-07,2011-09,False,281.0,4,North America,4331.5897,3846.8825,3835.1481,11.7344,2011,9
44274,5,2011-09-06,2011-09,True,,4,North America,3953.9884,3578.27,2171.2942,1406.9758,2011,9
